"ecosystem"	"package"	"version"	"license"	"license_files"	"status"
"cargo"	"jsonptr"	"0.6.3"	"MIT OR Apache-2.0"	"jsonptr_0.6.3__LICENSE-APACHE;jsonptr_0.6.3__LICENSE-MIT"	"included"
"cargo"	"keyboard-types"	"0.7.0"	"MIT OR Apache-2.0"	"keyboard-types_0.7.0__LICENSE-APACHE;keyboard-types_0.7.0__LICENSE-MIT"	"included"
"cargo"	"libc"	"0.2.189"	"MIT OR Apache-2.0"	"libc_0.2.189__LICENSE-APACHE;libc_0.2.189__LICENSE-MIT"	"included"
"cargo"	"litemap"	"0.8.3"	"Unicode-3.0"	"litemap_0.8.3__LICENSE"	"included"
"cargo"	"lock_api"	"0.4.14"	"MIT OR Apache-2.0"	"lock_api_0.4.14__LICENSE-APACHE;lock_api_0.4.14__LICENSE-MIT"	"included"
"cargo"	"log"	"0.4.34"	"MIT OR Apache-2.0"	"log_0.4.34__LICENSE-APACHE;log_0.4.34__LICENSE-MIT"	"included"
"cargo"	"markup5ever"	"0.38.0"	"MIT OR Apache-2.0"	"markup5ever_0.38.0__LICENSE-APACHE;markup5ever_0.38.0__LICENSE-MIT"	"included"
"cargo"	"memchr"	"2.8.3"	"Unlicense OR MIT"	"memchr_2.8.3__COPYING;memchr_2.8.3__LICENSE-MIT"	"included"
"cargo"	"mime"	"0.3.17"	"MIT OR Apache-2.0"	"mime_0.3.17__LICENSE-APACHE;mime_0.3.17__LICENSE-MIT"	"included"
"cargo"	"minisign-verify"	"0.2.5"	"MIT"	"minisign-verify_0.2.5__LICENSE"	"included"
"cargo"	"miniz_oxide"	"0.8.9"	"MIT OR Zlib OR Apache-2.0"	"miniz_oxide_0.8.9__LICENSE;miniz_oxide_0.8.9__LICENSE-APACHE.md;miniz_oxide_0.8.9__LICENSE-MIT.md;miniz_oxide_0.8.9__LICENSE-ZLIB.md"	"included"
"cargo"	"miniz_oxide"	"0.9.1"	"MIT OR Zlib OR Apache-2.0"	"miniz_oxide_0.9.1__LICENSE;miniz_oxide_0.9.1__LICENSE-APACHE.md;miniz_oxide_0.9.1__LICENSE-MIT.md;miniz_oxide_0.9.1__LICENSE-ZLIB.md"	"included"
"cargo"	"mio"	"1.2.3"	"MIT"	"mio_1.2.3__LICENSE"	"included"
"cargo"	"muda"	"0.19.3"	"Apache-2.0 OR MIT"	"muda_0.19.3__LICENSE-APACHE;muda_0.19.3__LICENSE-MIT;muda_0.19.3__LICENSE.spdx"	"included"
"cargo"	"new_debug_unreachable"	"1.0.6"	"MIT"	"new_debug_unreachable_1.0.6__LICENSE-MIT"	"included"
"cargo"	"num-conv"	"0.2.2"	"MIT OR Apache-2.0"	"num-conv_0.2.2__LICENSE-Apache;num-conv_0.2.2__LICENSE-MIT"	"included"
"cargo"	"num-traits"	"0.2.19"	"MIT OR Apache-2.0"	"num-traits_0.2.19__LICENSE-APACHE;num-traits_0.2.19__LICENSE-MIT"	"included"
"cargo"	"once_cell"	"1.21.4"	"MIT OR Apache-2.0"	"once_cell_1.21.4__LICENSE-APACHE;once_cell_1.21.4__LICENSE-MIT"	"included"
"cargo"	"open"	"5.4.4"	"MIT"	"open_5.4.4__LICENSE.md"	"included"
"cargo"	"option-ext"	"0.2.0"	"MPL-2.0"	"option-ext_0.2.0__LICENSE.txt"	"included"
"cargo"	"parking_lot"	"0.12.5"	"MIT OR Apache-2.0"	"parking_lot_0.12.5__LICENSE-APACHE;parking_lot_0.12.5__LICENSE-MIT"	"included"
"cargo"	"parking_lot_core"	"0.9.12"	"MIT OR Apache-2.0"	"parking_lot_core_0.9.12__LICENSE-APACHE;parking_lot_core_0.9.12__LICENSE-MIT"	"included"
"cargo"	"percent-encoding"	"2.3.2"	"MIT OR Apache-2.0"	"percent-encoding_2.3.2__LICENSE-APACHE;percent-encoding_2.3.2__LICENSE-MIT"	"included"
"cargo"	"phf"	"0.13.1"	"MIT"	"phf_0.13.1__LICENSE"	"included"
"cargo"	"phf_codegen"	"0.13.1"	"MIT"	"phf_codegen_0.13.1__LICENSE"	"included"
"cargo"	"phf_generator"	"0.13.1"	"MIT"	"phf_generator_0.13.1__LICENSE"	"included"
"cargo"	"phf_macros"	"0.13.1"	"MIT"	"phf_macros_0.13.1__LICENSE"	"included"
"cargo"	"phf_shared"	"0.13.1"	"MIT"	"phf_shared_0.13.1__LICENSE"	"included"
"cargo"	"pin-project-lite"	"0.2.17"	"Apache-2.0 OR MIT"	"pin-project-lite_0.2.17__LICENSE-APACHE;pin-project-lite_0.2.17__LICENSE-MIT"	"included"
"cargo"	"plist"	"1.10.1"	"MIT"	"plist_1.10.1__LICENCE"	"included"
"cargo"	"png"	"0.17.16"	"MIT OR Apache-2.0"	"png_0.17.16__LICENSE-APACHE;png_0.17.16__LICENSE-MIT"	"included"
"cargo"	"potential_utf"	"0.1.6"	"Unicode-3.0"	"potential_utf_0.1.6__LICENSE"	"included"
"cargo"	"powerfmt"	"0.2.0"	"MIT OR Apache-2.0"	"powerfmt_0.2.0__LICENSE-Apache;powerfmt_0.2.0__LICENSE-MIT"	"included"
"cargo"	"precomputed-hash"	"0.1.1"	"MIT"	"precomputed-hash_0.1.1__LICENSE"	"included"
"cargo"	"proc-macro2"	"1.0.107"	"MIT OR Apache-2.0"	"proc-macro2_1.0.107__LICENSE-APACHE;proc-macro2_1.0.107__LICENSE-MIT"	"included"
